date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:04	86135/86135	---M--	200	added ('OK')	image/png	etag:%2216.3%22	https://miro.medium.com/max/630/1*t9esf3wfptrwVpGv3YFdyQ.png	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/miro.medium.com/max/630/1_t9esf3wfptrwVpGv3YFdyQ.png	(from https://blog.nxtinteractive.sg/blog/difference-between-centralized-and-decentralized-platforms)
14:13:04	108388/108388	---M--	200	added ('OK')	image/png	etag:%2216.3%22	https://miro.medium.com/max/630/1*QIDsjr_MgkSN51KMdu73RA.png	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/miro.medium.com/max/630/1_QIDsjr_MgkSN51KMdu73RA.png	(from https://blog.nxtinteractive.sg/blog/difference-between-centralized-and-decentralized-platforms)
14:13:04	833204/833204	---M--	200	added ('OK')	image/png	etag:%22ed7defb5765f25e0463cb6de1d3b1655%22	https://s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/15293/data/thumb/l-7.jpg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/15293/data/thumb/l-7.png	(from https://blog.nxtinteractive.sg/blog/difference-between-centralized-and-decentralized-platforms)
14:13:05	123362/123362	---M--	200	added ('OK')	image/png	etag:%2216.3%22	https://miro.medium.com/max/630/1*d3rVN0RQIEUoQV4sf8MVvQ.png	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/miro.medium.com/max/630/1_d3rVN0RQIEUoQV4sf8MVvQ.png	(from https://blog.nxtinteractive.sg/blog/difference-between-centralized-and-decentralized-platforms)
14:13:06	191275/191275	---M--	200	added ('OK')	image/jpeg	etag:%224ca3213bd97d3213282bbb28462e7a6e%22	https://s3.amazonaws.com/contents.newzenler.com/34045/library/63204abea4a83_1663060670_event-reg-tech.jpeg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/library/63204abea4a83_1663060670_event-reg-tech.jpg	(from https://blog.nxtinteractive.sg/blog/events-registration-technology)
14:13:07	173329/173329	---M--	200	added ('OK')	image/jpeg	etag:%22e10bb0ffb2471c0af30b124a37b8fdc8%22	https://s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13782/data/thumb/l-5.jpg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13782/data/thumb/l-5.jpg	(from https://blog.nxtinteractive.sg/blog/events-registration-technology)
14:13:08	233769/233769	---M--	200	added ('OK')	image/jpeg	etag:%22f2e2e53b37fe5c6269a3d8a7559a0246%22	https://s3.amazonaws.com/contents.newzenler.com/34045/library/6308c77e03430_1661519742_1.jpeg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/library/6308c77e03430_1661519742_1.jpg	(from https://blog.nxtinteractive.sg/blog/how-an-nft-digital-showroom-can-help-your-business-grow)
14:13:09	229518/229518	---M--	200	added ('OK')	image/jpeg	etag:%22e9204b4408abb98e36528b70219a0891%22	https://s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13356/data/thumb/l-5.jpg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13356/data/thumb/l-5.jpg	(from https://blog.nxtinteractive.sg/blog/how-an-nft-digital-showroom-can-help-your-business-grow)
14:13:10	145518/145518	---M--	200	added ('OK')	image/jpeg	etag:%22227fca338284a6282b7ad7ef6913b827%22	https://s3.amazonaws.com/contents.newzenler.com/34045/library/6307136b426b6_1661408107_whatsapp-image-2022-08-24-at-1-57-20-pm.jpeg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/library/6307136b426b6_1661408107_whatsapp-image-2022-08-24-at-1-57-20-pm.jpg	(from https://blog.nxtinteractive.sg/blog/metaverse-virtual-office-spaces)
14:13:11	150685/150685	---M--	200	added ('OK')	image/jpeg	etag:%221fdf6e45a07e00b45697c678f73bb6f6%22	https://s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13329/data/thumb/l-8.jpg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13329/data/thumb/l-8.jpg	(from https://blog.nxtinteractive.sg/blog/metaverse-virtual-office-spaces)
14:13:14	3881985/3881985	---M--	200	added ('OK')	image/png	etag:%22d5c13fc4043d66fe5b1026a3d6863979%22	https://s3.amazonaws.com/contents.newzenler.com/34045/library/6301ed9e59ef4_1661070750_9.png	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/library/6301ed9e59ef4_1661070750_9.png	(from https://blog.nxtinteractive.sg/blog/how-to-use-nfts-in-metaverse-a-beginner-s-guide)
14:13:14	971321/971321	---M--	200	added ('OK')	image/png	etag:%22e6d3e5c7e0f7b7ed9cea82b001a5172c%22	https://s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13228/data/thumb/l-2.jpg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13228/data/thumb/l-2.png	(from https://blog.nxtinteractive.sg/blog/how-to-use-nfts-in-metaverse-a-beginner-s-guide)
